codepays,pays,population2019,continent
AFG,Afghanistan,38041757,Asia
ALB,Albania,2862427,Europe
DZA,Algeria,43053054,Africa
AND,Andorra,76177,Europe
AGO,Angola,31825299,Africa
AIA,Anguilla,14872,America
ATG,Antigua_and_Barbuda,97115,America
ARG,Argentina,44780675,America
ARM,Armenia,2957728,Europe
ABW,Aruba,106310,America
AUS,Australia,25203200,Oceania
AUT,Austria,8858775,Europe
AZE,Azerbaijan,10047719,Europe
BHS,Bahamas,389486,America
BHR,Bahrain,1641164,Asia
BGD,Bangladesh,163046173,Asia
BRB,Barbados,287021,America
BLR,Belarus,9452409,Europe
BEL,Belgium,11455519,Europe
BLZ,Belize,390351,America
BEN,Benin,11801151,Africa
BMU,Bermuda,62508,America
BTN,Bhutan,763094,Asia
BOL,Bolivia,11513102,America
BES,"Bonaire, Saint Eustatius and Saba",25983,America
BIH,Bosnia_and_Herzegovina,3300998,Europe
BWA,Botswana,2303703,Africa
BRA,Brazil,211049519,America
VGB,British_Virgin_Islands,30033,America
BRN,Brunei_Darussalam,433296,Asia
BGR,Bulgaria,7000039,Europe
BFA,Burkina_Faso,20321383,Africa
BDI,Burundi,11530577,Africa
KHM,Cambodia,16486542,Asia
CMR,Cameroon,25876387,Africa
CAN,Canada,37411038,America
CPV,Cape_Verde,549936,Africa
CYM,Cayman_Islands,64948,America
CAF,Central_African_Republic,4745179,Africa
TCD,Chad,15946882,Africa
CHL,Chile,18952035,America
CHN,China,1433783692,Asia
COL,Colombia,50339443,America
COM,Comoros,850891,Africa
COG,Congo,5380504,Africa
CRI,Costa_Rica,5047561,America
CIV,Cote_dIvoire,25716554,Africa
HRV,Croatia,4076246,Europe
CUB,Cuba,11333484,America
CUW,Curaçao,163423,America
CYP,Cyprus,875899,Europe
CZE,Czechia,10649800,Europe
COD,Democratic_Republic_of_the_Congo,86790568,Africa
DNK,Denmark,5806081,Europe
DJI,Djibouti,973557,Africa
DMA,Dominica,71808,America
DOM,Dominican_Republic,10738957,America
ECU,Ecuador,17373657,America
EGY,Egypt,100388076,Africa
SLV,El_Salvador,6453550,America
GNQ,Equatorial_Guinea,1355982,Africa
ERI,Eritrea,3497117,Africa
EST,Estonia,1324820,Europe
SWZ,Eswatini,1148133,Africa
ETH,Ethiopia,112078727,Africa
FLK,Falkland_Islands_(Malvinas),3372,America
FRO,Faroe_Islands,48677,Europe
FJI,Fiji,889955,Oceania
FIN,Finland,5517919,Europe
FRA,France,67012883,Europe
PYF,French_Polynesia,279285,Oceania
GAB,Gabon,2172578,Africa
GMB,Gambia,2347696,Africa
GEO,Georgia,3996762,Europe
DEU,Germany,83019213,Europe
GHA,Ghana,30417858,Africa
GIB,Gibraltar,33706,Europe
GRC,Greece,10724599,Europe
GRL,Greenland,56660,America
GRD,Grenada,112002,America
GUM,Guam,167295,Oceania
GTM,Guatemala,17581476,America
GGY,Guernsey,64468,Europe
GIN,Guinea,12771246,Africa
GNB,Guinea_Bissau,1920917,Africa
GUY,Guyana,782775,America
HTI,Haiti,11263079,America
VAT,Holy_See,815,Europe
HND,Honduras,9746115,America
HUN,Hungary,9772756,Europe
ISL,Iceland,356991,Europe
IND,India,1366417756,Asia
IDN,Indonesia,270625567,Asia
IRN,Iran,82913893,Asia
IRQ,Iraq,39309789,Asia
IRL,Ireland,4904240,Europe
IMN,Isle_of_Man,84589,Europe
ISR,Israel,8519373,Asia
ITA,Italy,60359546,Europe
JAM,Jamaica,2948277,America
JPN,Japan,126860299,Asia
JEY,Jersey,107796,Europe
JOR,Jordan,10101697,Asia
KAZ,Kazakhstan,18551428,Asia
KEN,Kenya,52573967,Africa
XKX,Kosovo,1798506,Europe
KWT,Kuwait,4207077,Asia
KGZ,Kyrgyzstan,6415851,Asia
LAO,Laos,7169456,Asia
LVA,Latvia,1919968,Europe
LBN,Lebanon,6855709,Asia
LSO,Lesotho,2125267,Africa
LBR,Liberia,4937374,Africa
LBY,Libya,6777453,Africa
LIE,Liechtenstein,38378,Europe
LTU,Lithuania,2794184,Europe
LUX,Luxembourg,613894,Europe
MDG,Madagascar,26969306,Africa
MWI,Malawi,18628749,Africa
MYS,Malaysia,31949789,Asia
MDV,Maldives,530957,Asia
MLI,Mali,19658023,Africa
MLT,Malta,493559,Europe
MHL,Marshall_Islands,58791,Oceania
MRT,Mauritania,4525698,Africa
MUS,Mauritius,1269670,Africa
MEX,Mexico,127575529,America
MDA,Moldova,4043258,Europe
MCO,Monaco,33085,Europe
MNG,Mongolia,3225166,Asia
MNE,Montenegro,622182,Europe
MSF,Montserrat,4991,America
MAR,Morocco,36471766,Africa
MOZ,Mozambique,30366043,Africa
MMR,Myanmar,54045422,Asia
NAM,Namibia,2494524,Africa
NPL,Nepal,28608715,Asia
NLD,Netherlands,17282163,Europe
NCL,New_Caledonia,282757,Oceania
NZL,New_Zealand,4783062,Oceania
NIC,Nicaragua,6545503,America
NER,Niger,23310719,Africa
NGA,Nigeria,200963603,Africa
MKD,North_Macedonia,2077132,Europe
MNP,Northern_Mariana_Islands,57213,Oceania
NOR,Norway,5328212,Europe
OMN,Oman,4974992,Asia
PAK,Pakistan,216565317,Asia
PSE,Palestine,4981422,Asia
PAN,Panama,4246440,America
PNG,Papua_New_Guinea,8776119,Oceania
PRY,Paraguay,7044639,America
PER,Peru,32510462,America
PHL,Philippines,108116622,Asia
POL,Poland,37972812,Europe
PRT,Portugal,10276617,Europe
PRI,Puerto_Rico,2933404,America
QAT,Qatar,2832071,Asia
ROU,Romania,19414458,Europe
RUS,Russia,145872260,Europe
RWA,Rwanda,12626938,Africa
KNA,Saint_Kitts_and_Nevis,52834,America
LCA,Saint_Lucia,182795,America
VCT,Saint_Vincent_and_the_Grenadines,110593,America
SMR,San_Marino,34453,Europe
STP,Sao_Tome_and_Principe,215048,Africa
SAU,Saudi_Arabia,34268529,Asia
SEN,Senegal,16296362,Africa
SRB,Serbia,6963764,Europe
SYC,Seychelles,97741,Africa
SLE,Sierra_Leone,7813207,Africa
SGP,Singapore,5804343,Asia
SXM,Sint_Maarten,42389,America
SVK,Slovakia,5450421,Europe
SVN,Slovenia,2080908,Europe
SLB,Solomon_Islands,669821,Oceania
SOM,Somalia,15442906,Africa
ZAF,South_Africa,58558267,Africa
KOR,South_Korea,51225321,Asia
SSD,South_Sudan,11062114,Africa
ESP,Spain,46937060,Europe
LKA,Sri_Lanka,21323734,Asia
SDN,Sudan,42813237,Africa
SUR,Suriname,581363,America
SWE,Sweden,10230185,Europe
CHE,Switzerland,8544527,Europe
SYR,Syria,17070132,Asia
TWN,Taiwan,23773881,Asia
TJK,Tajikistan,9321023,Asia
THA,Thailand,69625581,Asia
TLS,Timor_Leste,1293120,Asia
TGO,Togo,8082359,Africa
TTO,Trinidad_and_Tobago,1394969,America
TUN,Tunisia,11694721,Africa
TUR,Turkey,82003882,Europe
TCA,Turks_and_Caicos_islands,38194,America
UGA,Uganda,44269587,Africa
UKR,Ukraine,43993643,Europe
ARE,United_Arab_Emirates,9770526,Asia
GBR,United_Kingdom,66647112,Europe
TZA,United_Republic_of_Tanzania,58005461,Africa
USA,United_States_of_America,329064917,America
VIR,United_States_Virgin_Islands,104579,America
URY,Uruguay,3461731,America
UZB,Uzbekistan,32981715,Asia
VUT,Vanuatu,299882,Oceania
VEN,Venezuela,28515829,America
VNM,Vietnam,96462108,Asia
WLF,Wallis_and_Futuna,,Oceania
YEM,Yemen,29161922,Asia
ZMB,Zambia,17861034,Africa
ZWE,Zimbabwe,14645473,Africa